organism	ph
Moraxella catarrhalis	7.3
Moraxella osloensis	7.2
Morganella morganii	7.18
Morganella psychrotolerans	7.3
Moritella dasanensis	7.6
Moritella japonica	7.6
Moritella sp.	7.6
Moritella viscosa	7.6
Morococcus cerebrosus	7.1
Mortierella isabellina	5.6
Motilibacter peucedani	7.27
Motilibacter rhizosphaerae	7.2
Mucilaginibacter gracilis	6
Mucilaginibacter oryzae	7.2
Mucilaginibacter paludis	7.2
Mucor amphibiorum	5.6
Mucor flavus	5.6
Mucor fuscus	5.6
Mucor hiemalis	5.6
Mucor inaequisporus	5.6
Mucor indicus	5.6
Mucor piriformis	5.6
Mucor plumbeus	5.6
Mucor racemosus	5.6
Mucor sinensis	5.6
Mucor spinosus	5.6
Mucor tuberculisporus	5.6
Mucor variisporus	5.6
Mumia flava	7.2
Murdochiella asaccharolytica	7
Muricauda antarctica	7.6
Muricauda ruestringensis	7.4
Muricauda zhangzhouensis	7.6
Muricoccus roseus	7.3
Muriicola jejuensis	7.6
Murinocardiopsis flavida	7.2
Mutinus caninus	5.6
Myceligenerans crystallogenes	7.1
Myceligenerans halotolerans	7.4
Myceligenerans xiligouense	7.35
Myceliophthora lutea	5.6
Myceliophthora thermophila	5.6
Mycena citrinomarginata	5.6
Mycena crocata	5.6
Mycena epipterygia	5.6
Mycena polygramma	5.6
Mycena tintinnabulum	5.6
Mycetocola lacteus	7.1
Mycetocola reblochoni	7.1
Mycetocola saprophilus	7.1
Mycetocola tolaasinivorans	7.1
Mycobacterium abscessus	7
Mycobacterium asiaticum	7
Mycobacterium aurum	7.04
Mycobacterium austroafricanum	7
Mycobacterium avium	7
Mycobacterium bovis	7
Mycobacterium brumae	7
Mycobacterium celatum	7
Mycobacterium chelonae	7.06
Mycobacterium chitae	7
Mycobacterium chlorophenolicum	7.3
Mycobacterium chubuense	7
Mycobacterium conceptionense	7.15
Mycobacterium confluentis	7
Mycobacterium conspicuum	7
Mycobacterium cookii	7
Mycobacterium diernhoferi	7
Mycobacterium doricum	7
Mycobacterium duvalii	7
Mycobacterium fallax	7
Mycobacterium farcinogenes	7.01
Mycobacterium flavescens	7
Mycobacterium flavum	6.9
Mycobacterium florentinum	7
Mycobacterium fortuitum	7.12
Mycobacterium gadium	7
Mycobacterium gastri	7
Mycobacterium gilvum	7.03
Mycobacterium gordonae	7
Mycobacterium hackensackense	7
Mycobacterium heidelbergense	7
Mycobacterium hodleri	7
Mycobacterium immunogenum	7
Mycobacterium interjectum	7
Mycobacterium intermedium	7
Mycobacterium intracellulare	7
Mycobacterium kansasii	7.1
Mycobacterium komossense	7
Mycobacterium madagascariense	7
Mycobacterium mageritense	7
Mycobacterium malmoense	7
Mycobacterium marinum	7
Mycobacterium monacense	7
Mycobacterium moriokaense	7
Mycobacterium mucogenicum	7
Mycobacterium murale	7
Mycobacterium neoaurum	7
Mycobacterium nonchromogenicum	7
Mycobacterium obuense	7.2
Mycobacterium parafortuitum	7.07
Mycobacterium parascrofulaceum	7
Mycobacterium peregrinum	7.16
Mycobacterium phlei	7.11
Mycobacterium porcinum	7
Mycobacterium pulveris	7
Mycobacterium ratisbonense	7
Mycobacterium rhodesiae	7
Mycobacterium salmoniphilum	7
Mycobacterium scrofulaceum	7
Mycobacterium sediminis	7.2
Mycobacterium senegalense	7
Mycobacterium shimoidei	7
Mycobacterium simiae	7
Mycobacterium smegmatis	7.06
Mycobacterium sp.	7.12
Mycobacterium sphagni	7.2
Mycobacterium szulgai	7
Mycobacterium terrae	7
Mycobacterium thermoresistibile	7
Mycobacterium tokaiense	7
Mycobacterium triviale	7
Mycobacterium tusciae	7
Mycobacterium vaccae	7.11
Mycobacterium vanbaalenii	6.9
Mycobacterium xenopi	7
Mycoplana bullata	7
Mycoplana dimorpha	7
Mycoplana ramosa	7
Mycoplana segnis	7
Mycoplasma hyorhinis	7.4
Mycoplasma sp.	7.4
Mycosphaerella pinodes	7.2
Mycotypha africana	5.6
Myroides guanonis	7
Myroides marinus	7.6
Myroides odoratus	7.1
Myroides phaeus	7.3
Myroides profundi	7.6
Myrothecium verrucaria	5.6
Myxococcus coralloides	7.2
Myxococcus exiguus	7.2
Myxococcus flavescens	7.2
Myxococcus fulvus	7.2
Myxococcus macrosporus	7.2
Myxococcus stipitatus	7.2
Myxococcus virescens	7.2
Myxococcus xanthus	7.2
Nakamurella flavida	7.2
Nakamurella lactea	7.2
Nakamurella multipartita	7.25
Nakamurella panacisegetis	7.2
Nakazawaea holstii	6.5
Nannocystis exedens	7.2
Nannocystis pusilla	7.2
Nannocystis sp.	7.2
Natranaerobaculum magadiense	8
Natranaerobius thermophilus	7.75
Natranaerobius trueperi	7.75
Natranaerovirga hydrolytica	8
Natranaerovirga pectinivora	8
Natrialba aegyptia	7.25
Natrialba aegyptiaca	7.25
Natrialba asiatica	7.1
Natrialba magadii	8.12
Natrialba taiwanensis	7.1
Natribacillus halophilus	7.1
Natrinema ejinorense	6.75
Natrinema pallidum	7.25
Natrinema pellirubrum	7.25
Natrinema salaciae	7.1
Natrinema sp.	7.1
Natrinema versiforme	7.1
Natroniella acetigena	8
Natroniella sulfidigena	9.9
Natronincola ferrireducens	8.3
Natronincola histidinovorans	8.9
Natronincola peptidivorans	8.3
Natronincola peptidovorans	8.3
Natronobacterium gregoryi	8.12
Natronobacterium magadii	8.12
Natronobacterium pharaonis	8.2
Natronobacterium texcoconense	8.12
Natronobacterium vacuolatum	9
Natronococcus amylolyticus	8.12
Natronococcus jeotgali	7.4
Natronococcus occultus	8.12
Natronoflexus pectinivorans	8
Natronomonas moolapensis	7.4
Natronomonas pharaonis	8.2
Natronorubrum texcoconense	8.12
Natronorubrum tibetense	8.12
Natronovirga wadinatrunensis	7.75
Naumannella halotolerans	7.1
Nautella italica	7.6
Nautilia abyssi	6.82
Nautilia lithotrophica	6
Nautilia profundicola	7
Naxibacter alkalitolerans	7.3
Naxibacter haematophilus	7.2
Naxibacter suwonensis	7.2
Naxibacter varians	7.2
Nectria coccinea	7.2
Negativicoccus succinicivorans	7
Neiella marina	7.6
Neisseria elongata	7.3
Neisseria gonorrhoeae	7.15
Neisseria perflava	7.3
Neisseria weaveri	7.3
Nematoloma frowardii	5.6
Neohendersonia kickxii	5.6
Neosartorya spinosa	5.6
Neoscardovia arbecensis	7.2
Neptunomonas antarctica	7.6
Neptunomonas japonica	7.6
Neptunomonas naphthovorans	7.6
Nereida ignava	7.6
Nesiotobacter exalbescens	7.6
Nesterenkonia aethiopica	7.35
Nesterenkonia alba	7.1
Nesterenkonia flava	7.1
Nesterenkonia halobia	7.6
Nesterenkonia halophila	7.3
Nesterenkonia halotolerans	7.2
Nesterenkonia jeotgali	7.6
Nesterenkonia lacusekhoensis	7.6
Nesterenkonia lutea	7.2
Nesterenkonia sandarakina	7.2
Nesterenkonia sp.	7.2
Nesterenkonia suensis	7.6
Nesterenkonia xinjiangensis	7.2
Neurospora crassa	5.6
Nevskia aquatilis	7.2
Nevskia persephonica	7.1
Nevskia ramosa	7.15
Niabella aurantiaca	7.2
Niabella drilacis	7.3
Niabella hirudinis	7.3
Niabella soli	7.2
Niastella koreensis	7.2
Niastella yeongjuensis	7.2
Nicoletella semolina	7.15
Nigrospora sphaerica	5.6
Nisaea denitrificans	7.6
Nisaea nitritireducens	7.6
Nitratifractor salsuginis	7.25
Nitratireductor aquibiodomus	7.25
Nitratireductor kimnyeongensis	7.3
Nitratireductor lucknowense	7.3
Nitratiruptor tergarcus	7.25
Nitrincola lacisaponensis	9
Nitritalea halalkaliphila	7.6
Nitrobacter hamburgensis	7.4
Nitrobacter vulgaris	7.4
Nitrobacter winogradskyi	7.4
Nocardia abscessus	7.2
Nocardia aciditolerans	7.2
Nocardia acidivorans	7.2
Nocardia aerocolonigenes	7.44
Nocardia africana	7.23
Nocardia alba	7.2
Nocardia altamirensis	7.2
Nocardia amamiensis	7.2
Nocardia amarae	7.6
Nocardia amikacinitolerans	7.2
Nocardia anaemiae	7.25
Nocardia aobensis	7.3
Nocardia araoensis	7.3
Nocardia artemisiae	7.2
Nocardia arthritidis	7.3
Nocardia asiatica	7.2
Nocardia asteroides	7.3
Nocardia autotrophica	7.15
Nocardia beijingensis	7.15
Nocardia blacklockiae	7.2
Nocardia brasiliensis	7.33
Nocardia brevicatena	7.3
Nocardia caishijiensis	7.2
Nocardia calcarea	7.19
Nocardia callitridis	7.3
Nocardia capreola	7.2
Nocardia carnea	7.34
Nocardia caviae	7.32
Nocardia cellulans	7.3
Nocardia cerradoensis	7.25
Nocardia concava	7.3
Nocardia corynebacterioides	7.3
Nocardia coubleae	7.25
Nocardia cummidelens	7.23
Nocardia cyriacigeorgica	7.3
Nocardia dassonvillei	7.2
Nocardia devorans	7.2
Nocardia elegans	7.27
Nocardia exalbida	7.22
Nocardia farcinica	7.24
Nocardia flavorosea	7.2
Nocardia fluminea	7.25
Nocardia gamkensis	7.2
Nocardia globerula	7.8
Nocardia goodfellowii	7.2
Nocardia grenadensis	7.2
Nocardia harenae	7.2
Nocardia higoensis	7.3
Nocardia hydrocarbonoxydans	7.2
Nocardia ignorata	7.2
Nocardia inohanensis	7.2
Nocardia iowensis	7.25
Nocardia jejuensis	7.25
Nocardia jiangxiensis	7.2
Nocardia kroppenstedtii	7.2
Nocardia kruczakiae	7.25
Nocardia lijiangensis	7.25
Nocardia lurida	7.2
Nocardia mediterranei	7.4
Nocardia mexicana	7.2
Nocardia mikamii	7.3
Nocardia miyunensis	7.2
Nocardia neocaledoniensis	7.2
Nocardia niigatensis	7.2
Nocardia ninae	7.2
Nocardia niwae	7.25
Nocardia nova	7.22
Nocardia orientalis	7.35
Nocardia otitidiscaviarum	7.32
Nocardia paucivorans	7.25
Nocardia petroleophila	7.08
Nocardia pinensis	7
Nocardia pneumoniae	7.3
Nocardia polyresistens	7.25
Nocardia pseudobrasiliensis	7.3
Nocardia pseudovaccinii	7.8
Nocardia puris	7.14
Nocardia restricta	7.26
Nocardia rhamnosiphila	7.2
Nocardia rubra	7.26
Nocardia rugosa	7.2
Nocardia salmonicida	7.25
Nocardia saturnea	7.04
Nocardia seriolae	7.2
Nocardia shimofusensis	7.2
Nocardia sienata	7.25
Nocardia soli	7.2
Nocardia sp.	7.28
Nocardia speluncae	7.3
Nocardia sulphurea	7.5
Nocardia sungurluensis	7.2
Nocardia takedensis	7.3
Nocardia tenerifensis	7.25
Nocardia terpenica	7.2
Nocardia testacea	7.25
Nocardia thailandica	7.3
Nocardia thraciensis	7.2
Nocardia transvalensis	7.35
Nocardia uniformis	7.23
Nocardia vaccinii	7.1
Nocardia vermiculata	7.3
Nocardia veterana	7.23
Nocardia vinacea	7.2
Nocardia wallacei	7.2
Nocardia xishanensis	7.2
Nocardia yamanashiensis	7.2
Nocardioides agariphilus	7.2
Nocardioides albertanoniae	7.1
Nocardioides albus	7.16
Nocardioides alkalitolerans	7.1
Nocardioides alpinus	7.2
Nocardioides aquaticus	7.5
Nocardioides aquiterrae	7.2
Nocardioides aromaticivorans	7.15
Nocardioides basaltis	7.6
Nocardioides bigeumensis	7.2
Nocardioides caeni	7.2
Nocardioides caricicola	7.2
Nocardioides daedukensis	7.1
Nocardioides daejeonensis	7.2
Nocardioides daphniae	7.1
Nocardioides dilutes	7.2
Nocardioides dilutus	7.2
Nocardioides dokdonensis	7.1
Nocardioides dubius	7.1
Nocardioides exalbidus	7.1
Nocardioides fastidiosa	7.2
Nocardioides fastidiosus	7.2
Nocardioides flavus	7.15
Nocardioides furvisabuli	7.2
Nocardioides ganghwensis	7.6
Nocardioides ginsengagri	7.2
Nocardioides ginsengisegetis	7.2
Nocardioides ginsengisoli	7.2
Nocardioides halotolerans	7.2
Nocardioides hankookensis	7.2
Nocardioides humi	7.2
Nocardioides hungaricus	7.2
Nocardioides hwasunensis	7.1
Nocardioides insulae	7.1
Nocardioides iriomotensis	7.2
Nocardioides islandensis	7.2
Nocardioides islandiensis	7.2
Nocardioides jensenii	7.3
Nocardioides kongjuensis	7.1
Nocardioides koreensis	7.2
Nocardioides kribbensis	7.2
Nocardioides lentus	7.2
Nocardioides lianchengensis	7.1
Nocardioides luteus	7.15
Nocardioides maradonensis	7.2
Nocardioides marinisabuli	7.2
Nocardioides marinus	7.4
Nocardioides mesophilus	7.2
Nocardioides nitrophenolicus	7.2
Nocardioides oleivorans	7.1
Nocardioides opuntiae	7.2
Nocardioides pacificus	7.6
Nocardioides panacihumi	7.2
Nocardioides panacisoli	7.2
Nocardioides panaciterrulae	7.2
Nocardioides panzhihuaensis	7.2
Nocardioides panzhihuensis	7.2
Nocardioides perillae	7.2
Nocardioides plantarum	7.1
Nocardioides psychrotolerans	7.2
Nocardioides pyridinolyticus	7.2
Nocardioides salarius	7.6
Nocardioides sediminis	7.2
Nocardioides simplex	7.3
Nocardioides sp.	7.45
Nocardioides szechwanensis	7.2
Nocardioides terrae	7.2
Nocardioides terrigena	7.2
Nocardioides tritolerans	7.2
Nocardioides ultimimeridianus	7.2
Nocardioides zeae	7.2
Nocardiopsis aegyptia	7.33
Nocardiopsis africana	7.2
Nocardiopsis alba	7.23
Nocardiopsis alborubida	7.68
Nocardiopsis albus	7.23
Nocardiopsis antarctica	7.2
Nocardiopsis arabia	7.4
Nocardiopsis arvandica	7.2
Nocardiopsis baichengensis	7.4
Nocardiopsis chromatogenes	7.2
Nocardiopsis coeruleofusca	7.2
Nocardiopsis composta	7.3
Nocardiopsis compostus	7.3
Nocardiopsis coralliicola	7.2
Nocardiopsis dassonvillei	7.32
Nocardiopsis exhalans	7.3
Nocardiopsis fildesensis	7.2
Nocardiopsis flava	7.2
Nocardiopsis flavescens	7.4
Nocardiopsis gilva	7.3
Nocardiopsis halophila	7.4
Nocardiopsis halotolerans	7.2
Nocardiopsis kunsanensis	7.4
Nocardiopsis listeri	7.2
Nocardiopsis litoralis	7.6
Nocardiopsis longispora	7.2
Nocardiopsis lucentensis	7.3
Nocardiopsis metallicus	7.3
Nocardiopsis mutabilis	7.2
Nocardiopsis nikkonensis	7.2
Nocardiopsis potens	7.2
Nocardiopsis prasina	7.2
Nocardiopsis quinghaiensis	7.45
Nocardiopsis rhodophaea	7.2
Nocardiopsis rosea	7.25
Nocardiopsis salina	7.4
Nocardiopsis sinuspersici	7.25
Nocardiopsis sp.	7.25
Nocardiopsis synnemataformans	7.2
Nocardiopsis syringae	7.2
Nocardiopsis tangguensis	7.4
Nocardiopsis terrae	7.6
Nocardiopsis trehalosi	7.1
Nocardiopsis umidischolae	7.27
Nonlabens dokdonensis	7.6
Nonlabens ulvanivorans	7.6
Nonlabens xylanidelens	7.6
Nonomuraea africana	7.2
Nonomuraea angiospora	7.2
Nonomuraea antimicrobica	7.2
Nonomuraea asiatica	7.2
Nonomuraea bangladeshensis	7.2
Nonomuraea candida	7.2
Nonomuraea coxensis	7.2
Nonomuraea dietziae	7.2
Nonomuraea dietzii	7.2
Nonomuraea endophytica	7.2
Nonomuraea fastidiosa	7.2
Nonomuraea ferruginea	7.2
Nonomuraea fuscirosea	7.2
Nonomuraea helvata	7.2
Nonomuraea jabiensis	7.2
Nonomuraea jiangxiensis	7.2
Nonomuraea kuesteri	7.2
Nonomuraea latina	7.3
Nonomuraea longicatena	7.2
Nonomuraea maheshkhaliensis	7.2
Nonomuraea maritima	7.2
Nonomuraea monospora	7.2
Nonomuraea muscovyensis	7.3
Nonomuraea polychroma	7.2
Nonomuraea pusilla	7.2
Nonomuraea recticatena	7
Nonomuraea rhizophila	7.2
Nonomuraea rosea	7.2
Nonomuraea roseola	7.2
Nonomuraea roseoviolacea	7.2
Nonomuraea rubra	7.07
Nonomuraea salmonea	7.2
Nonomuraea solani	7.2
Nonomuraea soli	7.2
Nonomuraea sp.	7.15
Nonomuraea spiralis	7.2
Nonomuraea terrinata	7.2
Nonomuraea turkmeniaca	7.2
Nonomuraea wenchangensis	7.2
Nonomuria africana	7.2
Nonomuria angiospora	7.2
Nonomuria fastidiosa	7.2
Nonomuria ferruginea	7.2
Nonomuria helvata	7.2
Nonomuria polychroma	7.2
Nonomuria pusilla	7.2
Nonomuria recticatena	7
Nonomuria roseola	7.2
Nonomuria roseoviolacea	7.2
Nonomuria rubra	7.07
Nonomuria salmonea	7.2
Nonomuria spiralis	7.2
Nonomuria turkmeniaca	7.2
Nosocomiicoccus massiliensis	7.1
Nothopanus hygrophanus	5.6
Noviherbaspirillum aurantiacum	7.3
Noviherbaspirillum canariense	7.3
Noviherbaspirillum psychrotolerans	7.2
Noviherbaspirillum soli	7.3
Novispirillum itersonii	7
Novosphingobium aromaticivorans	6.9
Novosphingobium aromaticivorum	6.9
Novosphingobium barchaimii	7.3
Novosphingobium capsulatum	7
Novosphingobium fuchskuhlense	7.2
Novosphingobium indicum	7.6
Novosphingobium lentum	7.2
Novosphingobium lindaniclasticum	7.3
Novosphingobium malaysiense	7.4
Novosphingobium mathurense	7.3
Novosphingobium naphthalenivorans	7.1
Novosphingobium nitrogenifigens	7
Novosphingobium panipatense	7.3
Novosphingobium pentaromativorans	7.3
Novosphingobium resinovorum	7.11
Novosphingobium rosa	7
Novosphingobium roseae	7
Novosphingobium sediminicola	7.2
Novosphingobium soli	7.2
Novosphingobium stygiae	7.05
Novosphingobium stygium	7.05
Novosphingobium subarcticum	7.11
Novosphingobium subterraneae	6.95
Novosphingobium subterraneum	6.95
Novosphingobium taihuense	7.22
Novosphingobium tardaugens	7
Obesumbacterium proteus	7
Oceanibacterium hippocampi	7.6
Oceanibaculum pacificum	7.6
Oceanibulbus indolifex	7.6
Oceanicaulis alexandrii	7.6
Oceanicella actignis	7.4
Oceanicola batsensis	7.6
Oceanicola granulosus	7.6
Oceanicola nanhaiensis	7.6
Oceanimonas baumannii	7.45
Oceanimonas doudoroffii	7.45
Oceanirhabdus sediminicola	7
Oceaniserpentilla haliotis	7.6
Oceanisphaera donghaensis	7.6
Oceanisphaera litoralis	7.6
Oceanisphaera sediminis	7.6
Oceanithermus desulfurans	6.5
Oceanithermus profundus	7.25
Oceanobacillus caeni	7.3
Oceanobacillus chironomi	7.6
Oceanobacillus iheyensis	7.6
Oceanobacillus indicireducens	10
Oceanobacillus kapialis	7.1
Oceanobacillus locisalsi	7.6
Oceanobacillus neutriphilus	7.6
Oceanobacillus oncorhynchi	7.3
Oceanobacillus picturae	7.6
Oceanobacillus profundus	7.6
Oceanobacillus soja	7.3
Oceanobacillus sojae	7.3
Oceanobacter kriegii	7.6
Oceanomonas baumannii	7.45
Oceanomonas doudoroffii	7.45
Oceanospirillum beijerinckii	7.6
Oceanospirillum hiroshimense	7.6
Oceanospirillum jannaschii	7.3
Oceanospirillum japonicum	7.6
Oceanospirillum kriegii	7.6
Oceanospirillum linum	7.6
Oceanospirillum maris	7.6
Oceanospirillum minutulum	7.6
Oceanospirillum pelagicum	7.6
Oceanospirillum pusillum	7.6
Ochrobactrum anthropi	7.16
Ochrobactrum ciceri	7.2
Ochrobactrum cytisi	7
Ochrobactrum daejeonense	7.3
Ochrobactrum gallinifaecis	7
Ochrobactrum grignonense	7
Ochrobactrum haematophilum	7.3
Ochrobactrum intermedium	7.3
Ochrobactrum lupini	7
Ochrobactrum oryzae	7
Ochrobactrum pecoris	7.3
Ochrobactrum pituitosum	7.2
Ochrobactrum pseudintermedium	7.3
Ochrobactrum pseudogrignonense	7.3
Ochrobactrum rhizosphaerae	7.3
Ochrobactrum sp.	7.05
Ochrobactrum thiophenivorans	7.4
Ochrobactrum tritici	7
Octadecabacter arcticus	7.6
Odoribacter laneus	7.2
Odoribacter splanchnicus	7
Oenococcus kitaharae	6.35
Oenococcus oeni	4.8
Oerskovia enterophila	7.15
Oerskovia jenensis	7.38
Oerskovia paurometabola	7.1
Oerskovia turbata	7.25
Oerskovia xanthineolytica	7.3
Ogataea henricii	6.5
Ogataea pini	6.5
Ogataea trehalophila	6.5
Ohtaekwangia koreensis	7.2
Okibacterium fritillariae	7.1
Oleibacter marinus	7.5
Oleiphilus messinensis	7.6
Oleispira antarctica	7.6
Oligosphaera ethanolica	6.93
Oligotropha carboxidovorans	6.9
Olivibacter sitiensis	7.1
Olleya aquimaris	7.6
Olleya marilimosa	7.6
Olleya namhaensis	7.6
Olsenella profusa	7.2
Olsenella uli	6.63
Olsenella umbonata	7.2
Omphalotus nidiformis	5.6
Omphalotus olearius	5.6
Ophiostoma piliferum	5.6
Ophiostoma triangulosporum	5.6
Opitutus sp.	7.1
Opitutus terrae	7
Orbus hercynius	7.3
Orbus sasakiae	7.3
Orenia marismortui	6.5
Orenia sivashensis	7
Oribacterium asaccharolyticum	6.7
Oribacterium parvum	6.7
Oribacterium sinus	6.95
Oribaculum catoniae	7
Ornatilinea apprima	7
Ornithinibacillus bavariensis	7
Ornithinibacillus californiensis	7.6
Ornithinibacillus contaminans	7.3
Ornithinibacillus halophilus	7.2
Ornithinibacillus scapharcae	7.3
Ornithinibacter aureus	7.6
Ornithinicoccus hortensis	7.2
Ornithinimicrobium humiphilum	7.2
Ornithinimicrobium kibberense	7.1
Ornithinimicrobium murale	7.1
Ornithinimicrobium sp.	7.33
Ornithobacterium rhinotracheale	7.3
Oryzihumus leptocrescens	7.2
Oscillibacter valericigenes	7.2
Osmoporus odoratus	5.6
Ottowia pentelensis	7.3
Ottowia thiooxydans	7.27
Oudemansiella canarii	5.6
Oudemansiella mucida	5.6
Oudemansiella steffenii	5.6
Oxalicibacterium faecigallinarum	7
Oxalicibacterium flavum	7
Oxalicibacterium horti	7
Oxalicibacterium solurbis	7
Oxalobacter formigenes	6.9
Oxalobacter vibrioformis	7.1
Oxalophagus oxalicus	7.1
Oxobacter pfennigii	7.16
Paecilomyces fumosoroseus	5.6
Paecilomyces lilacinus	6.67
Paecilomyces marquandii	6.4
Paenibacillus aestuarii	7.2
Paenibacillus agarexedens	7
Paenibacillus agaridevorans	7
Paenibacillus alginolyticus	7
Paenibacillus algorifonticola	7.3
Paenibacillus alkaliterrae	7.3
Paenibacillus alvei	7
Paenibacillus amylolyticus	7
Paenibacillus anaericanus	7.15
Paenibacillus apiarius	7
Paenibacillus assamensis	7.3
Paenibacillus azoreducens	7
Paenibacillus barcinonensis	7.3
Paenibacillus barengoltzii	7.3
Paenibacillus beijingensis	7.2
Paenibacillus borealis	7
Paenibacillus brasilensis	7.3
Paenibacillus brassicae	7.3
Paenibacillus campinasensis	7.3
Paenibacillus castaneae	7
Paenibacillus catalpae	7.3
Paenibacillus cellulosilyticus	7.3
Paenibacillus chartarius	7.3
Paenibacillus chibensis	7.06
Paenibacillus chinjuensis	7
Paenibacillus chitinolyticus	7
Paenibacillus chondroitinus	7
Paenibacillus cineris	7.3
Paenibacillus cookii	7.3
Paenibacillus curdlanolyticus	7.15
Paenibacillus daejeonensis	7.3
Paenibacillus darwinianus	7.3
Paenibacillus dendritiformis	7.3
Paenibacillus dongdonensis	7.3
Paenibacillus donghaensis	7
Paenibacillus durus	7.15
Paenibacillus ehimensis	7
Paenibacillus elgii	7.15
Paenibacillus favisporus	7.3
Paenibacillus filicis	7.3
Paenibacillus fonticola	7.3
Paenibacillus forsythiae	7.3
Paenibacillus frigoriresistens	7
Paenibacillus gansuensis	7.2
Paenibacillus ginsengarvi	7.3
Paenibacillus ginsengihumi	7.2
Paenibacillus ginsengisoli	7.15
Paenibacillus glacialis	7.3
Paenibacillus glucanolyticus	7.2
Paenibacillus glycanilyticus	7.3
Paenibacillus gordonae	6.99
Paenibacillus gorillae	7.1
Paenibacillus graminis	7.3
Paenibacillus harenae	7.2
Paenibacillus hodogayensis	7.3
Paenibacillus humicus	7.3
Paenibacillus hunanensis	7.3
Paenibacillus illinoisensis	7
Paenibacillus jamilae	7.3
Paenibacillus jilunlii	7.3
Paenibacillus kobensis	7.13
Paenibacillus konsidensis	7.3
Paenibacillus kribbensis	7.1
Paenibacillus lactis	7.3
Paenibacillus larvae	7.3
Paenibacillus lautus	7
Paenibacillus lentus	7.3
Paenibacillus macerans	7
Paenibacillus macquariensis	7.1
Paenibacillus massiliensis	7.3
Paenibacillus mendelii	7.15
Paenibacillus motobuensis	7.3
Paenibacillus mucilaginosus	7.6
Paenibacillus nanensis	7
Paenibacillus naphthalenovorans	7.1
Paenibacillus nematophilus	7.3
Paenibacillus odorifer	7.3
Paenibacillus pabuli	7.15
Paenibacillus panacisoli	7.2
Paenibacillus pasadenensis	7.3
Paenibacillus pectinilyticus	7
Paenibacillus peoriae	7.15
Paenibacillus phoenicis	7.3
Paenibacillus phyllosphaerae	7.3
Paenibacillus pinihumi	7.3
Paenibacillus pocheonensis	7.2
Paenibacillus polymyxa	7
Paenibacillus prosopidis	7.2
Paenibacillus provencensis	7.3
Paenibacillus pueri	7.15
Paenibacillus puldeungensis	7.3
Paenibacillus pulvifaciens	7.3
Paenibacillus purispatii	7.3
Paenibacillus relictisesami	7.3
Paenibacillus residui	7.3
Paenibacillus rhizosphaerae	7.3
Paenibacillus riograndensis	7.3
Paenibacillus sabinae	7.3
Paenibacillus sacheonensis	7.2
Paenibacillus sanguinis	7.3
Paenibacillus sediminis	7.2
Paenibacillus sepulcri	7
Paenibacillus shirakamiensis	7.3
Paenibacillus soli	7.2
Paenibacillus sophorae	7.3
Paenibacillus sp.	7.17
Paenibacillus sputi	7.3
Paenibacillus stellifer	7.3
Paenibacillus taichungensis	7.3
Paenibacillus taiwanensis	7.3
Paenibacillus taohuashanense	7
Paenibacillus tarimensis	7.3
Paenibacillus terrae	7
Paenibacillus terrigena	7.15
Paenibacillus thailandensis	7.15
Paenibacillus thermoaerophilus	7.1
Paenibacillus thermophilus	7.3
Paenibacillus thiaminolyticus	7
Paenibacillus tianmuensis	7.25
Paenibacillus timonensis	7.3
Paenibacillus triticisoli	7.3
Paenibacillus tundrae	7.3
Paenibacillus turicensis	7.3
Paenibacillus tylopili	7.3
Paenibacillus typhae	7.3
Paenibacillus uliginis	7.3
Paenibacillus urinalis	7.3
Paenibacillus validus	6.99
Paenibacillus vulneris	7.1
Paenibacillus woosongensis	7.3
Paenibacillus wynnii	7.3
Paenibacillus xinjiangensis	7.3
Paenibacillus xylanexedens	7.3
Paenibacillus xylanilyticus	7.3
Paenibacillus xylanisolvens	7.3
Paenibacillus zanthoxyli	7.3
Paenisporosarcina antarctica	7.6
Paenisporosarcina indica	7.3
Paenisporosarcina macmurdoensis	7.3
Paenochrobactrum gallinarii	7.3
Paenochrobactrum pullorum	7.3
Palaeococcus ferrophilus	6
Palaeococcus helgesonii	6
Palaeococcus pacificus	6
Palleronia marisminoris	7.6
Paludibacter propionicigenes	7.2
Panacagrimonas perspica	7.2
Panaeolina foenisecii	5.6
Panaeolus acuminatus	5.6
Panaeolus fimicola	5.6
Panaeolus papilionaceus	5.6
Panaeolus retirugis	5.6
Panaeolus semiovatus	5.6
Panaeolus sphinctrinus	5.6
Panaeolus subbalteatus	5.6
Pandoraea apista	7.3
Pandoraea faecigallinarum	7.3
Pandoraea norimbergensis	7
Pandoraea oxalativorans	7.3
Pandoraea pnomenusa	7.3
Pandoraea pulmonicola	7.3
Pandoraea sputorum	7.3
Pandoraea thiooxydans	7.3
Pandoraea vervacti	7.3
Panellus pusillus	5.6
Panellus serotinus	5.6
Panellus stipticus	5.6
Pannonibacter indica	7
Pannonibacter indicus	7
Pannonibacter phragmitetus	9
Pantoea agglomerans	7.04
Pantoea allii	7.3
Pantoea ananas	7.08
Pantoea ananatis	7.08
Pantoea anthophila	7
Pantoea brenneri	7
Pantoea calida	7.3
Pantoea citrea	7
Pantoea conspicua	7
Pantoea cypripedii	7
Pantoea deleyi	7
Pantoea dispersa	7
Pantoea eucalypti	7
Pantoea eucrina	7
Pantoea gaviniae	7.3
Pantoea punctata	7
Pantoea rodasii	7
Pantoea rwandensis	7
Pantoea sp.	7
Pantoea stewartii	7.15
